,ds,y
439,2017:12:28 12:18:30,4.0
440,2017:12:28 12:20:34,4.1
441,2017:12:28 12:26:45,4.2
442,2017:12:28 12:32:56,3.9
443,2017:12:28 12:37:03,4.0
444,2017:12:28 12:45:19,4.1
445,2017:12:28 12:55:38,4.3
446,2017:12:28 12:53:34,4.2
447,2017:12:28 13:01:49,4.3
448,2017:12:28 12:59:45,4.2
449,2017:12:28 13:03:52,4.4
450,2017:12:28 13:10:04,4.3
451,2017:12:28 13:12:08,4.4
452,2017:12:28 13:14:12,4.5
453,2017:12:28 13:26:34,4.6
454,2017:12:28 13:53:20,4.7
455,2017:12:28 14:11:54,4.6
456,2017:12:28 14:36:39,4.5
457,2017:12:28 14:44:54,4.7
458,2017:12:28 14:46:58,4.5
459,2017:12:28 15:01:26,4.4
460,2017:12:28 15:05:32,4.3
461,2017:12:28 15:13:46,4.2
462,2017:12:28 15:22:00,4.1
463,2017:12:28 15:30:15,4.0
464,2017:12:28 15:32:19,3.9
465,2017:12:28 15:38:31,3.8
466,2017:12:28 15:44:41,3.9
467,2017:12:28 15:52:55,3.8
468,2017:12:28 16:03:13,3.7
469,2017:12:28 16:09:22,3.6
470,2017:12:28 16:15:32,3.5
471,2017:12:28 16:23:43,3.4
472,2017:12:28 16:29:53,3.3
473,2017:12:28 16:33:59,2.6
474,2017:12:28 16:44:17,2.5
475,2017:12:28 16:54:35,2.4
476,2017:12:28 17:04:50,2.3
477,2017:12:28 17:17:13,2.2
478,2017:12:28 17:29:35,1.9
479,2017:12:28 17:33:42,1.1
480,2017:12:28 17:41:57,1.0
481,2017:12:28 17:50:12,1.1
482,2017:12:28 17:52:16,0.9
483,2017:12:28 17:56:24,1.0
484,2017:12:28 17:58:26,0.9
485,2017:12:28 18:00:30,1.0
486,2017:12:28 18:21:46,0.8
487,2017:12:28 18:26:13,0.9
488,2017:12:28 18:28:16,1.1
489,2017:12:28 18:30:20,0.9
490,2017:12:28 18:32:24,0.5
491,2017:12:28 18:38:34,0.4
492,2017:12:28 19:11:32,0.5
493,2017:12:28 19:32:08,0.2
494,2017:12:28 19:38:19,0.1
495,2017:12:28 20:03:00,0.2
496,2017:12:28 20:25:42,0.3
497,2017:12:28 20:33:57,-0.3
498,2017:12:28 21:02:49,-0.2
499,2017:12:28 21:15:11,-0.1
500,2017:12:28 21:25:28,-0.0
501,2017:12:28 21:33:43,-0.7
502,2017:12:28 21:31:39,0.0
503,2017:12:28 21:41:58,-0.6
504,2017:12:28 22:00:31,-0.5
505,2017:12:28 22:08:46,-0.4
506,2017:12:28 22:17:01,-0.3
507,2017:12:28 22:25:15,-0.2
508,2017:12:28 22:33:29,-1.0
509,2017:12:28 22:35:33,-1.0
510,2017:12:28 22:41:43,-0.9
511,2017:12:28 22:54:06,-0.8
512,2017:12:28 23:04:23,-0.7
513,2017:12:28 23:08:30,-0.6
514,2017:12:28 23:14:41,-0.5
515,2017:12:28 23:18:48,-0.4
516,2017:12:28 23:24:58,-0.3
517,2017:12:28 23:29:06,-0.2
518,2017:12:28 23:33:14,-1.1
519,2017:12:28 23:41:30,-1.0
520,2017:12:28 23:43:33,-1.0
521,2017:12:28 23:45:37,-1.0
522,2017:12:28 23:47:41,-0.9
523,2017:12:28 23:55:56,-0.8
524,2017:12:29 00:06:11,-0.7
525,2017:12:29 00:04:08,-0.6
526,2017:12:29 00:12:22,-0.6
527,2017:12:29 00:18:34,-0.5
528,2017:12:29 00:24:46,-0.4
529,2017:12:29 00:28:53,-0.3
530,2017:12:29 00:35:04,-1.5
531,2017:12:29 00:41:15,-1.4
532,2017:12:29 00:51:35,-1.3
533,2017:12:29 00:59:50,-1.2
534,2017:12:29 01:05:59,-1.1
535,2017:12:29 01:12:09,-1.0
536,2017:12:29 01:16:17,-0.9
537,2017:12:29 01:22:28,-0.8
538,2017:12:29 01:28:39,-0.7
539,2017:12:29 01:32:46,-0.6
540,2017:12:29 01:34:50,-1.6
541,2017:12:29 01:45:06,-1.5
542,2017:12:29 01:55:25,-1.4
543,2017:12:29 02:03:38,-1.3
544,2017:12:29 02:07:45,-1.2
545,2017:12:29 02:13:57,-1.1
546,2017:12:29 02:18:06,-1.0
547,2017:12:29 02:22:13,-0.9
548,2017:12:29 02:26:20,-0.8
549,2017:12:29 02:32:32,-0.7
550,2017:12:29 02:34:36,-1.2
551,2017:12:29 02:42:50,-1.1
552,2017:12:29 02:53:08,-1.0
553,2017:12:29 03:01:24,-0.9
554,2017:12:29 03:03:28,-0.8
555,2017:12:29 03:07:36,-0.7
556,2017:12:29 03:11:42,-0.6
557,2017:12:29 03:15:49,-0.4
558,2017:12:29 03:13:45,-0.5
559,2017:12:29 03:19:57,-0.3
560,2017:12:29 03:22:02,-0.2
561,2017:12:29 03:26:09,-0.1
562,2017:12:29 03:30:15,0.0
563,2017:12:29 03:28:13,-0.0
564,2017:12:29 03:32:19,0.4
565,2017:12:29 03:36:26,0.5
566,2017:12:29 03:40:33,0.6
567,2017:12:29 03:44:41,0.8
568,2017:12:29 03:48:49,0.9
569,2017:12:29 03:52:56,1.0
570,2017:12:29 03:57:02,1.1
571,2017:12:29 04:01:09,1.2
572,2017:12:29 04:05:18,1.3
573,2017:12:29 04:07:21,1.4
574,2017:12:29 04:09:25,1.5
575,2017:12:29 04:13:33,1.6
576,2017:12:29 04:15:36,1.7
577,2017:12:29 04:17:40,1.8
578,2017:12:29 04:21:47,1.9
579,2017:12:29 04:23:50,2.0
580,2017:12:29 04:27:58,2.1
581,2017:12:29 04:30:03,2.2
582,2017:12:29 04:32:06,2.0
583,2017:12:29 04:34:09,2.1
584,2017:12:29 04:38:17,2.2
585,2017:12:29 04:40:21,2.3
586,2017:12:29 04:44:28,2.4
587,2017:12:29 04:46:32,2.5
588,2017:12:29 04:50:40,2.6
589,2017:12:29 04:52:42,2.7
590,2017:12:29 04:56:50,2.8
591,2017:12:29 04:58:54,2.9
592,2017:12:29 05:03:01,3.0
593,2017:12:29 05:05:05,3.1
594,2017:12:29 05:09:13,3.2
595,2017:12:29 05:11:17,3.3
596,2017:12:29 05:15:25,3.4
